Timestamp,Epochs,SS1,SS0,K1,K0,REM1,REM0,Son1,Son0,Soff1,Soff0,A1,A0,MS1,MS0
109060,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
110044,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
111026,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
112076,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
113199,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0
324400,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0
335537,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286759,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0
289193,39,0,1,0,0,0,0,0,0,1,0,0,0,0,0
297075,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0
334167,45,0,1,0,1,0,0,0,0,0,0,0,0,0,0
336787,45,0,1,1,0,0,0,0,0,0,0,0,0,0,0
343886,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
350254,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
357791,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
362971,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
364595,49,0,1,0,1,0,0,0,0,0,0,0,0,0,0
370137,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0
374820,50,0,1,0,1,0,0,0,0,0,0,0,0,0,0
368157,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
377228,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
377435,51,0,1,0,1,0,0,0,0,0,0,0,0,0,0
384741,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0
393743,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
393214,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
401813,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0
399834,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410431,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0
419401,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0
424825,57,0,1,1,0,0,0,0,0,0,0,0,0,0,0
428694,58,0,1,0,1,0,0,0,0,0,0,0,0,0,0
430189,58,0,1,1,0,0,0,0,0,0,0,0,0,0,0
429517,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0
427030,57,0,1,0,1,0,0,0,0,0,0,0,0,0,0
448836,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455533,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0
454587,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0
450501,61,0,1,0,0,0,0,0,0,0,0,1,0,0,0
452898,61,0,1,0,0,0,0,1,0,0,0,0,0,0,0
458561,62,0,1,1,0,0,0,0,0,0,0,0,0,0,0
470153,63,0,1,0,1,0,0,0,0,0,0,0,0,0,0
473275,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0
473201,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0
476697,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0
